lon,lat
-85.91570377349854,35.210878744248
-85.91581106185913,35.210089814882224
-85.91662645339964,35.21044045110233
-85.91808557510376,35.21012487857239
-85.9186005592346,35.20905542921041
-85.91920137405396,35.20907296128074
-85.91990947723387,35.209844368627174
-85.92134714126587,35.21035279218927
-85.92278480529785,35.21052810992073
-85.92357873916626,35.21019500590726
-85.92342853546143,35.209160621575556
-85.92269897460938,35.20842427215757
-85.92514514923096,35.207197008288
-85.92593908309937,35.207758045501436
-85.92778444290161,35.206478173693235
-85.92686176300049,35.205233347514536
-85.92673301696777,35.204461896361764
-85.92540264129639,35.20439176407537
-85.92550992965697,35.202971572244955
-85.92139005661011,35.20262090377227
-85.92186212539673,35.20172669231353
-85.92233419418335,35.19995577389832
-85.9286642074585,35.196571634289676
-85.92802047729492,35.1954669364334
-85.92660427093506,35.195203910920036
-85.92332124710083,35.196361216808604
-85.92353582382201,35.19902646462898
-85.92207670211792,35.19986810366676
-85.91917991638184,35.20148122077902
-85.91411590576172,35.203322239203544
-85.91508150100708,35.204496962482224
-85.91254949569702,35.204286565532236
-85.91184139251709,35.20498788657903
-85.91396570205688,35.206671032379845
-85.91570377349854,35.210878744248